Run Time, Comparisons, Swaps
202, 120473, 0
198, 120473, 0
211, 120473, 0
207, 120473, 0
215, 120473, 0
197, 120473, 0
193, 120473, 0
193, 120473, 0
194, 120473, 0
198, 120473, 0
Sorted
196, 69087, 0
192, 69012, 0
213, 69012, 0
215, 69012, 0
205, 69010, 0
201, 69010, 0
195, 69008, 0
214, 69008, 0
196, 69008, 0
197, 69008, 0
