,Run Time, Comparisons, Swaps
,90696042,9999600004,2495012225
,110613518,29998800012,4991190975
,97249563,49998000020,7490515303
,50054168,69997200028,9991126019
,55311002,89996400036,12494855442
,49599166,1.09996E+11,14995204875
,49217402,1.29995E+11,17490622392
,52571105,1.49994E+11,19990890779
,49127760,1.69993E+11,22484451950
,48249107,1.89992E+11,24991111666
Average,6.53E+07,99996000040,13741498162
,,,
,Sorted,,
,Run Time, Comparisons, Swaps
,62265920,19999200008,0
,58717774,39998400016,0
,25700001,59997600024,0
,56321640,79996800032,0
,26745519,99996000040,0
,27261751,1.19995E+11,0
,27583910,1.39994E+11,0
,28053343,1.59994E+11,0
,27402749,1.79993E+11,0
,27590933,1.99992E+11,0
Average,3.68E+07,1.09996E+11,0
