,Run Time, Comparisons, Swaps
,23335622,4999850001,99999
,15338758,14999550003,299997
,14969462,24999250005,499995
,13947300,34998950007,699993
,15031169,44998650009,899991
,13853883,54998350011,1099989
,15142518,64998050013,1299987
,14063063,74997750015,1499985
,13968790,84997450017,1699983
,12539150,94997150019,1899981
Average,1.52E+07,49998500010,999990
,,,
,Sorted,,
,Run Time, Comparisons, Swaps
,14914220,9999700002,199998
,14338508,19999400004,399996
,14819344,29999100006,599994
,13294885,39998800008,799992
,14234805,49998500010,999990
,13547974,59998200012,1199988
,13536793,69997900014,1399986
,13957654,79997600016,1599984
,12658059,89997300018,1799982
,13927040,99997000020,1999980
Average,1.39E+07,54998350011,199998
