,Run Time, Comparisons, Swaps
,266688,49985001,9999
,231187,149955003,29997
,126415,249925005,49995
,167728,349895007,69993
,146791,449865009,89991
,133034,549835011,109989
,211481,649805013,129987
,126632,749775015,149985
,211306,849745017,169983
,122820,949715019,189981
Average,174408,499850010,99990
,,,
,Sorted,,
,Run Time, Comparisons, Swaps
,113910,99970002,19998
,172979,199940004,39996
,114387,299910006,59994
,124983,399880008,79992
,109460,499850010,99990
,109352,599820012,119988
,199627,699790014,139986
,111590,799760016,159984
,130857,899730018,179982
,160684,999700020,199980
Average,134783,549835011,19998
