,Run Time, Comparisons, Swaps
,4023,996004,247505
,1999,2988012,498958
,1041,4980020,755872
,0,6972028,1007346
,0,8964036,1255704
,11317,10956044,1501229
,0,12948052,1752766
,15759,14940060,2002185
,0,16932068,2249045
,16798,18924076,2503598
Average,5093.7,9960040,1377420
,,,
,Sorted,,
,Run Time, Comparisons, Swaps
,0,1992008,0
,15928,3984016,0
,15793,5976024,0
,16911,7968032,0
,15777,9960040,0
,0,11952048,0
,0,13944056,0
,0,15936064,0
,0,17928072,0
,0,19920080,0
Average,6440.9,10956044,0
